NAME,ADDRESS,CITY,STATE,ZIP,TYPE,DEGREES OFFERED,CAMPUS SETTING,CAMPUS HOUSING,STUDENT POPULATION,UNDERGRADUATE STUDENTS,PUBLIC/PRIVATE,PUBLISHED IN-STATE TUITION AND FEES ($),PUBLISHED OUT-OF-STATE TUITION AND FEES ($),TELEPHONE,POPULATION,LATITUDE,LONGITUDE,WEBSITE,RANK,UNDERGRADUATE POPULATION,NET PRICE,AVERAGE GRANT AID,TOTAL ANNUAL COST,ALUMNI SALARY,ACCEPTANCE RATE
HARVARD UNIVERSITY,MASSACHUSETTS HALL,CAMBRIDGE,MA,02138,FOUR OR MORE YEARS,"ASSOCIATE'S DEGREE , BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,31566.0,9950.0,PRIVATE NON-PROFIT,50420.0,50420.0,(617) 495-1000,50600,42.3741729010001,-71.11822912799991,www.harvard.edu,1.0,13844.0,14327.0,49870.0,69600.0,146800.0,5.0
STANFORD UNIVERSITY, ,STANFORD,CA,94305,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",SUBURB,YES,17381.0,7087.0,PRIVATE NON-PROFIT,51354.0,51354.0,(650) 723-2300,36036,37.432982204,-122.175059657,www.stanford.edu/,2.0,8402.0,13261.0,50134.0,69109.0,145200.0,5.0
YALE UNIVERSITY,WOODBRIDGE HALL,NEW HAVEN,CT,06520,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE , DOCTOR'S DEGREE - OTHER",CITY,YES,13433.0,5964.0,PRIVATE NON-PROFIT,53430.0,53430.0,(203) 432-4771,29675,41.3122749180001,-72.922557786,https://www.yale.edu,3.0,6483.0,18627.0,50897.0,71290.0,138300.0,7.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,77 MASSACHUSETTS AVENUE,CAMBRIDGE,MA,02139-4307,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP",CITY,YES,11574.0,4602.0,PRIVATE NON-PROFIT,51832.0,51832.0,(617) 253-1000,25421,42.360124582,-71.092097635,web.mit.edu/,4.0,4680.0,20771.0,43248.0,67430.0,155200.0,7.0
PRINCETON UNIVERSITY,1 NASSAU HALL,PRINCETON,NJ,08544-0070,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP",SUBURB,YES,8374.0,5428.0,PRIVATE NON-PROFIT,50340.0,50340.0,(609) 258-3000,15104,40.347107049,-74.6577007229999,www.princeton.edu,5.0,5659.0,9327.0,48088.0,66150.0,139400.0,6.0
UNIVERSITY OF PENNSYLVANIA,34TH & SPRUCE STREET,PHILADELPHIA,PA,19104-6303,FOUR OR MORE YEARS,"ASSOCIATE'S DEGREE , BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,25860.0,11851.0,PRIVATE NON-PROFIT,55584.0,55584.0,(215) 898-5000,44997,39.9510349760001,-75.193578486,www.upenn.edu,6.0,13437.0,24242.0,44801.0,71715.0,133900.0,9.0
BROWN UNIVERSITY,ONE PROSPECT STREET,PROVIDENCE,RI,02912,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,10257.0,7043.0,PRIVATE NON-PROFIT,55466.0,55466.0,(401) 863-1000,14869,41.82681331,-71.402961235,www.brown.edu,7.0,7390.0,30205.0,42455.0,71050.0,127600.0,8.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,1200 E CALIFORNIA BLVD,PASADENA,CA,91125,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP",CITY,YES,2233.0,948.0,PRIVATE NON-PROFIT,52362.0,52362.0,(626) 395-6811,5478,34.139147897,-118.125520993,www.caltech.edu,8.0,1002.0,24245.0,41408.0,68901.0,151600.0,8.0
DUKE UNIVERSITY,103 ALLEN BLDG,DURHAM,NC,27708,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,16606.0,6682.0,PRIVATE NON-PROFIT,55695.0,55695.0,(919) 684-8111,35921,36.002309118,-78.938645422,WWW.DUKE.EDU,9.0,7184.0,35737.0,47836.0,71764.0,132100.0,10.0
DARTMOUTH COLLEGE,207 PARKHURST HALL,HANOVER,NH,03755-3529,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",TOWN,YES,6572.0,4418.0,PRIVATE NON-PROFIT,55453.0,55453.0,(603) 646-1110,10781,43.705571295,-72.288827507,www.dartmouth.edu,10.0,4693.0,30421.0,47171.0,71827.0,130900.0,10.0
CORNELL UNIVERSITY,300 DAY HALL,ITHACA,NY,14853,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,23600.0,15182.0,PRIVATE NON-PROFIT,55188.0,55188.0,(607) 255-2000,34589,42.4486951440001,-76.476550679,www.cornell.edu,11.0,14774.0,31230.0,36164.0,70321.0,128200.0,13.0
POMONA COLLEGE,550 N COLLEGE AVE,CLAREMONT,CA,91711-6319,FOUR OR MORE YEARS,BACHELOR'S DEGREE,SUBURB,YES,1573.0,1573.0,PRIVATE NON-PROFIT,52780.0,52780.0,(909) 621-8131,2401,34.0982699800001,-117.711986423,www.pomona.edu,12.0,1599.0,15840.0,48930.0,69725.0,117200.0,8.0
GEORGETOWN UNIVERSITY,37TH AND O ST NW,WASHINGTON,DC,20057-0001,FOUR OR MORE YEARS,"ONE BUT LESS THAN TWO YEARS CERTIFICATE , BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,19204.0,7459.0,PRIVATE NON-PROFIT,54104.0,54104.0,(202) 687-0100,25573,38.908760623,-77.073453973,www.georgetown.edu,15.0,8194.0,30107.0,41893.0,71580.0,122200.0,16.0
